orbital_period,transit_duration,planet_radius,transit_depth,stellar_radius,stellar_temp,label
3.728732147,2.683,6.02,5226.5,0.809,5497.0,confirmed
14.5565618,4.554,1.08,103.8,1.061,6065.0,confirmed
1.6831237,1.382,10.0219,2192.0,2.0,6264.0,candidate
1.2730965,1.48,1.57925,414.0,0.77,5024.0,confirmed
23.899634407,3.81881,44.04,20953.0,0.924,6192.0,false_positive
272.0868353,2.7145,5.95,5572.0,0.791,5587.0,candidate
6.673117,,2.46610713,,0.762201,4937.0,confirmed
12.643303542,5.48853,34.94,236720.0,0.562,3977.0,false_positive
3.5424466,2.2308179,3.8362277,1923.8270395,0.853329,5058.0,candidate
1.87887673,6.60887,148.25,824390.0,1.235,6569.0,false_positive
2.6796,2.771,11.8862,7590.0,1.32,5938.0,false_positive
2.5543095,2.239,13.5543,18680.0,0.95,5990.0,candidate
5.185761,,7.5,,0.68,4551.0,confirmed
2.41872,2.685,7.23529,1160.0,2.16,6535.0,false_positive
8.8109721,4.822,47.94,24048.0,1.0,5780.0,false_positive
385.858683,12.071,3.23,548.4,1.195,6551.0,candidate
4.0625969,3.952,3.70815,320.0,2.09,6629.0,candidate
17.1019622,3.357,10.1067,11430.0,0.93,5302.3,confirmed
20.35847252,,10.55,,0.541,3711.0,confirmed
0.98656,0.724,3.78687,390.0,1.64,5522.0,false_positive
5.025598,,1.332,,0.663,4663.0,confirmed
9.089151782,3.1886,4.35,110.1,4.099,6729.0,false_positive
19.9253903,7.1580751,10.8355197,4510.2840364,1.58437,6213.0,candidate
82.175197,8.664,2.24,546.4,0.954,6247.0,confirmed
7.03902016,3.8633,2.45,529.8,1.058,6321.0,confirmed
10.643110689,88.1118,31.72,316.3,1.473,5930.0,false_positive
4.1629444,2.064,11.633,3670.0,1.88,6005.0,false_positive
10.1346454,,3.31,,0.4,3566.0,confirmed
21.204739,,9.11013939,,1.761722,5154.0,candidate
3.0958985,1.8584684,19.2443952,10354.9916952,1.25844,6764.0,false_positive
0.898216,,4.02,,0.82,5528.0,candidate
3.9155539,3.72,16.5322,12003.0,1.62,6285.0,candidate
14.3614789,4.0964994,5.0510341,2859.7577713,0.946146,5283.0,candidate
4.80912667,7.9331,44.3,134090.0,1.166,6462.0,false_positive
0.379463865,0.86896,59.56,1973.3,1.783,5075.0,false_positive
0.530967162,3.3659,23.72,244.9,1.193,6449.0,false_positive
3.3366511,1.8580034,4.1305078,6765.8704326,0.499698,3552.0,kp
4.0519584,0.666,10.7206,5310.0,1.12,5147.0,candidate
25.7054557,6.059,1.75,266.3,1.001,6326.0,false_positive
5.627911313,7.08223,81.61,434330.0,1.115,6280.0,false_positive
5.57654782,3.673,0.92,53.6,1.238,6187.0,confirmed
15.4159906,2.127,10.5168,4500.0,1.56,6120.0,false_positive
2.2310803,3.3193427,16.1961401,12565.1881618,1.42673,5905.0,candidate
3.6191613,,16.92559,,1.444,6060.0,confirmed
9.439459486,2.8979,4.16,3036.1,0.779,5097.0,confirmed
6.2185453,3.122,19.4459,7840.0,2.14,7968.0,candidate
18.24783,,11.88151954,,2.55,6069.0,confirmed
5.657,,2.433,,1.58,5912.0,confirmed
11.2304605,3.6009978,2.0754665,208.629137,1.2845,6308.31,confirmed
15.7335693,3.288,24.3218,2540.0,2.21,6800.0,false_positive
19.307107,,3.83,,0.86,5454.0,confirmed
3.99307,4.783,6.35126,3892.81,0.93,4731.1,false_positive
65.5580424,4.167,5.53264,6381.0,0.74,4340.0,candidate
6.6867154,2.945,11.1995,3870.0,1.8,5839.0,candidate
4.350460215,2.5276,533.08,50424.0,1.416,6585.0,false_positive
376.554588,3.182,2.0,481.0,0.913,5926.0,false_positive
21.6091483,6.112,2.134,320.0,1.15,5967.0,candidate
212.760495,3.703,2.8,195.8,1.976,7021.0,false_positive
8.66698,6.104,27.4804,9854.3,2.52,6322.2,false_positive
3.356169,1.434,11.0376,7442.0,1.08,5941.0,candidate
1.7613778,1.355,2.32,359.3,1.207,6544.0,candidate
4.1753448,3.941,4.07823,810.0,1.45,5686.0,candidate
6.373454978,3.9377,51.6,6084.6,1.254,5953.0,false_positive
32.669962587,3.581,1.37,365.4,0.741,4871.0,false_positive
17.356719,2.5707102,9.705386,12730.2717116,0.760629,4697.0,candidate
7.258450123,5.7297,5.53,3714.7,0.92,5638.0,false_positive
249.35154,13.76,4.42,1637.0,1.0,5780.0,candidate
6.786539,,1.2,,0.975,5866.0,candidate
8.2904597,2.6002,23.96,173010.0,0.566,4601.0,false_positive
3.855599139,3.183,3.57,1030.9,0.965,5936.0,false_positive
84.5733346,5.762,2.59,891.6,0.888,5418.0,confirmed
21.05349939,7.1605,2.75,496.6,1.247,5751.0,confirmed
2.8534013,5.176,11.4232,15830.0,0.52,3662.0,false_positive
10.8632531,37.68,19.93,188.2,0.914,5896.0,false_positive
18.9438583,4.108,10.0797,12167.0,0.95,5583.0,candidate
0.961292561,4.64294,92.55,325530.0,1.404,6300.0,false_positive
41.0081117,4.376,2.64,1004.5,0.708,5303.0,confirmed
41.6757509,10.848,2.1,142.0,1.763,5745.0,candidate
1.6453265,2.59,19.0536,19310.0,1.32,6023.0,kp
1.08749101,1.6192,4.91,126.4,3.204,5988.0,false_positive
1.7922888,1.622,12.6983,18880.0,0.89,5095.7,candidate
718.1809317,2.9233151,1.3653089,973.6269156,0.425623,3614.0,candidate
2.18565886,1.966,0.44,35.6,0.746,4997.0,candidate
100.2830675,10.8636,2.51,351.2,1.297,6214.0,confirmed
392.49728,10.53,2.82,1062.0,0.872,5737.0,false_positive
10.043245,3.099789,16.682435,21393.227138,0.670549,5076.0,false_positive
