orbital_period,planet_radius,stellar_radius,stellar_temp,label
8.90003342005,15.12617706,1.0044,5854.0,candidate
2.5048178,3.9467,0.92,5328.0,candidate
3.68034,1.06218625,0.774992,5121.0,candidate
41.552934,4.15834582,0.724128,4895.0,candidate
23.607902,3.11864589,1.115157,6057.0,candidate
21.98131,197.025,22.415,4491.0,candidate
4.435717,1.32476068,0.846676,5374.0,candidate
4.7535,1.5147,1.27,5986.0,false_positive
12.092199,5.84432297,0.990979,5333.0,candidate
19.496649,2.21599278,1.155241,5758.0,candidate
2.010607,1.28,0.618,3806.0,candidate
0.36432247904,6.95273914,0.347331,3473.0,candidate
7.3274,2.1225,0.96,5197.0,false_positive
4.684559,4.757,1.184,5829.0,candidate
0.762406,0.99,0.89,5620.0,confirmed
0.70531,1.6,1.0,5499.0,confirmed
4.284523,1.30280156,0.62182,4360.0,candidate
57.1050077,5.93946,0.97,5816.0,candidate
2.65323,62.27721531,13.730692,4621.0,candidate
29.435233,2.91662791,1.199507,5785.0,candidate
0.571308,1.46,0.83,5590.0,confirmed
0.5713127,1.676,0.99,5578.0,confirmed
0.571282,1.87,0.995,5496.0,confirmed
0.571,1.712,0.981,5496.0,confirmed
0.571336,1.82,0.95,5496.0,confirmed
0.571292,1.52,0.869,5470.0,confirmed
0.571212,1.6,0.95,5613.0,confirmed
0.571299,1.66855539,0.906429,5590.0,confirmed
0.571331,1.82,0.98,5617.0,confirmed
0.571292,1.725,0.988,5532.0,confirmed
13.339746,2.70490157,0.906429,5590.0,confirmed
13.339079,2.73,0.98,5617.0,confirmed
13.341245,2.53,0.83,5590.0,confirmed
13.3387,2.77,0.95,5496.0,confirmed
13.33989,2.84,0.99,5578.0,confirmed
13.334615,2.2,0.95,5613.0,confirmed
13.3397,2.5,0.869,5470.0,confirmed
13.33918,3.01,0.995,5496.0,confirmed
13.3397,2.836,0.988,5532.0,confirmed
8.133218,2.05114626,1.080518,5966.0,candidate
3.128977,1.282,0.976,5140.0,candidate
15.35092,16.31,0.943467,5417.0,candidate
15.32811688418,16.40718966,0.943467,5417.0,candidate
15.78157905706,11.76767971,1.0,5780.0,candidate
5.20256,3.58,0.995782,5489.0,candidate
16.77217,19.29,3.88053,4898.0,false_positive
16.770556,13.24001074,2.87646,4939.0,false_positive
48.249552,17.99855135,0.956171,5792.0,candidate
25.988289,316.73370059,15.95329,4382.0,candidate
18.69646,2.35,0.764037,5212.0,candidate
12.20239,4.15,1.01169,5869.0,candidate
4.18787,1.36,0.972391,5589.98,candidate
19.57833,2.77,0.940594,5613.0,candidate
19.57572,2.84337254,0.90705,5611.0,candidate
0.844548,1.005,0.165,3109.0,candidate
11.73677,1.82,0.761077,3984.72,candidate
0.72813,1.27,0.423901,3506.0,confirmed
0.728113,1.1,0.32,3782.0,confirmed
25.58142,8.35,1.9082,5409.94,candidate
10.583942,2.72,0.874,5280.0,candidate
5.69046,18.81,1.80891,5549.0,candidate
1.055785,1.51966184,0.592773,4315.0,candidate
37.20364,5.1,0.829429,5476.0,candidate
20.84919,3.01,2.37225,9767.0,candidate
16.13655,2.02,0.995311,5886.0,confirmed
16.141132,2.332,0.999,5868.0,confirmed
16.1388,2.18,0.998,5839.0,confirmed
16.140442,2.05969274,0.975013,5870.0,confirmed
0.251647,27.97665274,0.986936,5833.0,candidate
11.67254,3.87,1.22705,5725.0,candidate
4.03692,2.24,0.735009,4861.07,candidate
4.036791,2.33800166,0.72841,4933.0,candidate
9.632039,2.279,0.697,4646.0,candidate
18.239311,3.792,0.477,4015.0,candidate
11.109675,2.462,0.657,4813.0,candidate
5.1392756,2.17365,0.71,4014.0,candidate
10.7228,1.2998,1.114,5909.0,false_positive
29.957262,8.456,0.711,4897.0,candidate
2.0507,0.4064,0.645,4514.0,false_positive
7.084267,3.848,0.765,4572.0,candidate
20.676056,3.302,0.765,4572.0,candidate
6.786539,1.2,0.975,5866.0,candidate
2.988541,3.504,1.023,5761.0,candidate
21.436032,2.486,0.467,3627.0,candidate
0.8768,8.4683,0.515,3734.0,false_positive
3.853494,6.957,0.744,4459.0,candidate
4.696045,2.57,0.782,5003.0,candidate
16.607299,2.532,0.756,4878.0,candidate
16.980197,2.705,0.879,5319.0,candidate
1.827,0.99,0.503,3949.0,candidate
1.29655,8.559,0.586,3583.0,candidate
3.379516,4.742,0.741,4940.0,candidate
1.082,2.22,0.516,3408.0,candidate
1.082361,7.158,1.721,5556.0,candidate
3.35,0.97,0.427,4408.0,candidate
9.32,1.43,0.427,4408.0,candidate
7.539949,2.511,1.205,5661.0,candidate
5.10555,10.889,1.109,4938.0,candidate
17.768404,2.787,0.763,4961.0,candidate
4.464438,6.184,1.434,5894.0,candidate
11.416439,3.034,0.451,3668.0,candidate
7.21084,2.26,1.053,5739.0,candidate
