orbital_period,transit_duration,planet_radius,transit_depth,stellar_radius,stellar_temp,label
16.37198661,3.8449,540.37,4147.6,0.592,4187.0,false_positive
5.392026903,2.9804,2.68,1151.4,0.801,5198.0,confirmed
2.494170338,1.1221,2.42,863.7,0.829,5569.0,candidate
6.491682808,4.301,9.66,7163.3,1.107,6123.0,confirmed
3.044770796,10.0134,24.54,1695.0,0.753,5525.0,false_positive
3.855603916,3.2179,13.61,16653.0,1.046,6033.0,confirmed
3.855599139,3.183,3.57,1030.9,0.965,5936.0,false_positive
38.47876629,5.04169,13.26,23530.0,0.879,5510.0,confirmed
37.601661282,8.30604,27.22,59130.0,1.096,6140.0,false_positive
3.314947362,1.8007,3.94,1398.2,0.944,5609.0,confirmed
6.71969089,3.0231,4.37,969.7,0.866,5931.0,false_positive
39.6431552,6.5292,10.98,15664.0,0.9,5231.0,confirmed
51.42598578,16.9422,29.66,66068.0,1.147,6257.0,false_positive
21.80451611,3.4097,2.6,1144.9,0.708,5481.0,confirmed
10.28194593,3.4366,2.53,1110.7,0.775,5196.0,confirmed
18.11993039,4.2309,2.95,1506.9,0.775,5196.0,confirmed
3.78402867,1.9012,1.7,426.1,0.775,5196.0,confirmed
5.15448142,3.228,2.94,697.5,0.884,5431.0,confirmed
33.80364366,11.4813,20.7,13494.0,1.796,5855.0,false_positive
5.743469797,3.4412,3.13,1240.2,0.891,5897.0,confirmed
39.4759093,2.968,4.06,1012.6,1.031,6225.0,candidate
19.974485239,4.23479,26.56,40293.0,0.997,6108.0,false_positive
3.166353562,3.3129,3.82,1473.4,0.998,6007.0,confirmed
23.899634407,3.81881,44.04,20953.0,0.924,6192.0,false_positive
3.388012244,2.6849,2.11,280.1,1.25,5553.0,confirmed
5.83909761,3.1915,2.06,273.6,1.25,5553.0,confirmed
1.620467654,2.1888,1.57,159.6,1.25,5553.0,confirmed
10.6816951,3.605,2.3,307.8,1.25,5553.0,confirmed
6.104849417,4.6912,3.18,2090.3,0.712,5085.0,confirmed
3.578780566,2.91089,10.43,11382.0,0.994,5524.0,confirmed
3.187067566,3.119,23.88,1037.4,0.811,5450.0,false_positive
5.826657508,2.9183,4.09,1539.1,1.06,5561.0,confirmed
12.41216347,3.739,2.58,611.3,1.06,5561.0,confirmed
18.74649011,3.895,3.05,796.8,1.06,5561.0,confirmed
20.86021229,5.1937,5.5,1910.5,1.257,6035.0,confirmed
42.63427848,6.1998,5.22,1719.3,1.257,6035.0,confirmed
87.6476068,8.871,4.0,1009.6,1.257,6035.0,confirmed
9.61731426,3.8692,1.94,234.0,1.257,6035.0,candidate
9.467821474,2.4327,2.13,2237.0,0.458,3582.0,confirmed
0.893040969,1.0981,1.24,741.7,0.458,3582.0,confirmed
4.942783419,3.25346,10.62,11145.0,0.978,5514.0,confirmed
20.83426731,4.0454,2.74,988.4,0.88,5537.0,confirmed
9.94602357,3.3862,3.12,994.5,1.013,5344.0,confirmed
1.04562195,1.8955,1.45,213.0,1.013,5344.0,confirmed
5.71462396,2.336,1.78,297.8,1.013,5344.0,confirmed
102.9641952,15.735,39.0,1896.7,7.119,5047.0,false_positive
8.14515981,5.073,3.43,446.8,1.24,5896.0,confirmed
18.9985279,4.529,43.17,430.7,1.24,5896.0,confirmed
4.24439049,3.282,2.07,174.0,1.24,5896.0,confirmed
90.1240507,11.649,7.12,3020.3,1.215,6520.0,candidate
28.5742692,4.9427,2.32,824.9,0.812,5551.0,confirmed
856.672115,23.144,3.87,858.1,1.309,6449.0,candidate
0.689210173,1.6169,1.32,195.0,0.954,5630.0,candidate
7.34373964,1.1784,1.84,574.4,0.762,5757.0,confirmed
0.445277068,3.539,35.74,186.7,1.064,6167.0,false_positive
0.379463865,0.86896,59.56,1973.3,1.783,5075.0,false_positive
9.88047978,2.78458,23.6,18541.0,0.917,6113.0,false_positive
4.6484156,38.1939,5.06,128.4,3.482,6980.0,false_positive
17.512014768,1.8248,13.66,4511.7,1.132,6224.0,false_positive
3.9886021,1.7376,34.39,673.5,13.652,4813.0,candidate
0.533059312,1.8621,133.56,1495.8,4.051,8523.0,candidate
0.525154153,2.1441,23.61,747.5,0.846,5582.0,false_positive
1.303861044,4.0541,27.85,598.2,0.902,5758.0,false_positive
2.55549176,9.083,23.35,113.8,0.901,5948.0,false_positive
2.947376671,2.0911,403.59,433.2,2.234,8090.0,false_positive
224.7789355,11.1899,7.67,3487.5,1.235,5873.0,confirmed
0.890110752,0.8774,1.25,321.5,0.711,4768.0,false_positive
5.76573396,2.924,7.47,248.0,4.434,5772.0,false_positive
7.42608123,3.6379,2.47,443.3,1.176,6049.0,confirmed
15.9868932,4.158,1.62,178.5,1.176,6049.0,confirmed
0.73094589,4.32,17.12,250.2,0.848,5901.0,false_positive
18.92537246,3.9835,13.92,640.9,4.885,4941.0,confirmed
0.933749106,4.256,3.22,186.2,2.188,6215.0,false_positive
2.037440623,3.442,1.19,118.6,1.015,6253.0,false_positive
129995.7784,9.408,2.99,1474.9,0.726,4500.0,candidate
31.5925809,13.566,1.78,145.1,1.487,5676.0,confirmed
17.157236,11.284,1.55,110.4,1.487,5676.0,confirmed
1.97376085,1.82542,8.78,30222.0,0.503,3807.0,confirmed
13.118962443,4.3045,8.25,372.2,4.24,7221.0,candidate
4.618767792,5.9957,7.48,4399.1,1.033,6013.0,false_positive
7.82187328,3.8417,2.78,42.2,4.24,7221.0,candidate
53.5057611,10.5616,2.52,195.6,1.762,6247.0,candidate
2.785821236,3.5599,1.69,68.9,1.733,6202.0,confirmed
52.56901867,6.7507,78.54,26900.0,1.717,7240.0,false_positive
3.411758679,3.158,14.71,570.6,0.561,3995.0,false_positive
0.525426427,1.0801,1.45,324.6,0.802,5791.0,false_positive
1.269091415,1.4647,1.41,340.9,0.766,5041.0,confirmed
2.853133997,1.465,1.36,277.1,0.766,5041.0,confirmed
6.79685353,3.1702,2.01,393.1,0.97,6061.0,confirmed
8.667822346,4.9658,67.37,2121.9,1.889,6266.0,false_positive
1.475323222,2.3155,5.88,154.9,4.885,4941.0,confirmed
4.15246118,2.5755,7.62,223.4,4.885,4941.0,confirmed
8.7348852,4.49,1.59,270.7,0.96,5982.0,confirmed
10.26547688,3.733,1.81,399.6,0.853,5699.0,false_positive
13.4471791,3.0454,5.24,1428.2,1.041,6276.0,candidate
3.305577989,2.5903,25.89,17971.0,0.707,5534.0,false_positive
4.800653901,9.0419,16.91,15304.0,1.241,6715.0,false_positive
15.06649901,5.9885,56.44,36348.0,1.626,5751.0,false_positive
34.82008158,11.1711,11.36,18848.0,0.784,5114.0,false_positive
0.651784374,2.0141,33.65,2779.3,1.061,5555.0,false_positive
1.353771892,7.012,430.99,1349.1,15.76,4283.0,false_positive
18.95491633,24.249,71.39,867.5,2.534,6362.0,false_positive
4.348866254,3.2797,2436.69,625.6,101.451,3598.0,false_positive
47.93094546,2.6897,68.02,2144.4,1.938,8214.0,false_positive
3.99751422,3.686,2.98,32.8,5.324,5066.0,false_positive
1.592633181,5.5605,1.56,633.1,0.651,4506.0,false_positive
67.5923754,12.249,12.1,4158.1,1.744,6038.0,confirmed
17.02902786,4.645,2.54,568.9,1.067,5839.0,confirmed
6.84619236,3.529,1.67,246.8,1.067,5839.0,confirmed
67.8321638,7.358,2.39,507.8,1.067,5839.0,confirmed
43.1312147,3.198,2.39,447.8,1.067,5839.0,confirmed
1.224866441,1.7086,1.54,196.0,1.107,5553.0,confirmed
37.8102649,8.733,2.33,570.3,0.973,6085.0,confirmed
25.93406406,4.6142,2.48,414.5,1.225,5952.0,confirmed
83.4463485,6.536,2.73,503.0,1.225,5952.0,confirmed
7.04710032,2.926,25.2,400.9,1.068,5766.0,false_positive
12.99204853,6.0175,2.03,270.6,1.242,5765.0,confirmed
11.11620211,4.211,8.96,4843.9,0.996,6122.0,false_positive
1.922861499,3.5734,5.09,1916.2,0.911,5778.0,false_positive
0.635445336,1.8592,19.0,2547.4,0.55,3920.0,false_positive
1.665784138,1.8946,97.27,2006.2,2.789,6261.0,false_positive
55.6639167,23.546,34.14,3414.4,0.853,5587.0,false_positive
52.09081627,8.6388,7.14,2894.1,1.324,6198.0,confirmed
7.1548608,7.694,7.41,780.4,1.739,7443.0,false_positive
4.28746668,1.5693,2.29,790.1,0.815,5296.0,confirmed
2.002779769,2.231,1.42,260.5,0.892,5346.0,false_positive
8.18739443,3.0472,1.92,517.6,0.849,5251.0,confirmed
76.0498163,7.158,1.75,445.9,0.849,5251.0,confirmed
3.341799486,2.9254,1.67,178.2,1.235,5873.0,confirmed
3.3226948,3.568,15.33,78.7,16.959,5234.0,false_positive
36.97708808,4.737,38.6,1269.9,1.239,5589.0,false_positive
1.851409163,10.232,20.42,232.5,1.469,7117.0,false_positive
1.303859704,2.8239,0.98,36.7,1.521,6802.0,false_positive
145.5624926,5.4126,40.15,2931.6,1.095,6148.0,false_positive
3.749105745,1.9826,1.68,182.6,0.983,5751.0,confirmed
11.08956602,6.2877,3.51,148.1,2.867,6353.0,confirmed
7.37290344,2.172,2.67,205.2,1.07,5973.0,candidate
7.24476126,2.3145,0.65,58.0,0.874,5370.0,false_positive
119.0624882,3.1188,10.4,5372.3,0.92,5697.0,candidate
8.70798309,2.4904,2.01,1419.6,0.554,4362.0,confirmed
14.8623076,3.161,1.57,840.0,0.554,4362.0,candidate
4.17634276,2.335,1.23,531.5,0.554,4362.0,confirmed
27.40229859,6.8491,3.63,747.5,1.324,6198.0,confirmed
3.179267286,1.0246,1.21,200.9,0.857,5511.0,confirmed
10.38122447,2.715,2.18,801.5,0.78,5095.0,confirmed
24.5709023,3.587,2.82,764.2,0.78,5095.0,confirmed
81.221876,4.1135,16.59,9883.0,0.874,5619.0,false_positive
0.817026268,2.0799,2.92,1145.5,0.874,5619.0,false_positive
3.024092505,2.8021,12.14,7765.0,1.358,6063.0,confirmed
5.670155713,0.9361,5.85,536.7,0.183,3337.0,false_positive
1.022678654,1.3712,1.14,129.2,1.02,5366.0,confirmed
12.10968709,6.3461,2.98,284.7,1.458,6021.0,confirmed
